=== ACTION 1 ===
| Year-Month | Zone | Sum of Total_Pax |
|---|---|---|
| 2022-01 | CBD_BusinessBay | 77301 |
| 2022-01 | CBD_Downtown | 198192 |
| 2022-01 | Coastal_Marina | 101458 |
| 2022-01 | Core_Deira | 106705 |
| 2022-01 | Ind_JebelAli | 74414 |
| 2022-01 | Res_AlQusais | 109476 |
| 2022-01 | Res_InternationalCity | 99962 |
| 2022-02 | CBD_BusinessBay | 70014 |
| 2022-02 | CBD_Downtown | 181108 |
| 2022-02 | Coastal_Marina | 89766 |
| 2022-02 | Core_Deira | 98758 |
| 2022-02 | Ind_JebelAli | 66584 |
| 2022-02 | Res_AlQusais | 99917 |
| 2022-02 | Res_InternationalCity | 92101 |
| 2022-03 | CBD_BusinessBay | 79992 |
| 2022-03 | CBD_Downtown | 205902 |
| 2022-03 | Coastal_Marina | 101167 |
| 2022-03 | Core_Deira | 109565 |
| 2022-03 | Ind_JebelAli | 75057 |
| 2022-03 | Res_AlQusais | 110194 |
| 2022-03 | Res_InternationalCity | 103835 |
| 2022-04 | CBD_BusinessBay | 67981 |
| 2022-04 | CBD_Downtown | 175078 |
| 2022-04 | Coastal_Marina | 88056 |
| 2022-04 | Core_Deira | 93085 |
| 2022-04 | Ind_JebelAli | 65762 |
| 2022-04 | Res_AlQusais | 96316 |
| 2022-04 | Res_InternationalCity | 88240 |
| 2022-05 | CBD_BusinessBay | 68707 |
| 2022-05 | CBD_Downtown | 180156 |
| 2022-05 | Coastal_Marina | 89799 |
| 2022-05 | Core_Deira | 96871 |
| 2022-05 | Ind_JebelAli | 66787 |
| 2022-05 | Res_AlQusais | 99682 |
| 2022-05 | Res_InternationalCity | 89448 |
| 2022-06 | CBD_BusinessBay | 60099 |
| 2022-06 | CBD_Downtown | 153601 |
| 2022-06 | Coastal_Marina | 74655 |
| 2022-06 | Core_Deira | 81807 |
| 2022-06 | Ind_JebelAli | 57389 |
| 2022-06 | Res_AlQusais | 85437 |
| 2022-06 | Res_InternationalCity | 78082 |
| 2022-07 | CBD_BusinessBay | 60753 |
| 2022-07 | CBD_Downtown | 160972 |
| 2022-07 | Coastal_Marina | 79078 |
| 2022-07 | Core_Deira | 81858 |
| 2022-07 | Ind_JebelAli | 58601 |
| 2022-07 | Res_AlQusais | 87803 |
| 2022-07 | Res_InternationalCity | 79314 |
| 2022-08 | CBD_BusinessBay | 62920 |
| 2022-08 | CBD_Downtown | 160486 |
| 2022-08 | Coastal_Marina | 79078 |
| 2022-08 | Core_Deira | 85337 |
| 2022-08 | Ind_JebelAli | 59412 |
| 2022-08 | Res_AlQusais | 89226 |
